SRR395323.3482675 3482675/2
SRR395323.3482676 3482676/2
SRR395323.3482677 3482677/2
SRR395323.3482678 3482678/2
SRR395323.3482679 3482679/2
SRR395323.3482680 3482680/2
SRR395323.3482681 3482681/2
SRR395323.3482682 3482682/2
SRR395323.3482683 3482683/2
SRR395323.3482684 3482684/2
SRR395323.3482685 3482685/2
SRR395323.3482686 3482686/2
SRR395323.3482687 3482687/2
SRR395323.3482688 3482688/2
SRR395323.3482689 3482689/2
SRR395323.3482690 3482690/2
SRR395323.3482691 3482691/2
SRR395323.3482692 3482692/2
SRR395323.3482693 3482693/2
SRR395323.3482694 3482694/2
SRR395323.3482695 3482695/2
SRR395323.3482696 3482696/2
SRR395323.3482697 3482697/2
SRR395323.3482698 3482698/2
SRR395323.3482699 3482699/2
SRR395323.3482700 3482700/2
SRR395323.3482701 3482701/2
SRR395323.3482702 3482702/2
SRR395323.3482703 3482703/2
SRR395323.3482704 3482704/2
SRR395323.3482705 3482705/2
SRR395323.3482706 3482706/2
SRR395323.3482707 3482707/2
SRR395323.3482708 3482708/2
SRR395323.3482709 3482709/2
SRR395323.3482710 3482710/2
SRR395323.3482711 3482711/2
SRR395323.3482712 3482712/2
SRR395323.3482713 3482713/2
SRR395323.3482714 3482714/2
SRR395323.3482715 3482715/2
SRR395323.3482716 3482716/2
SRR395323.3482717 3482717/2
SRR395323.3482718 3482718/2
SRR395323.3482719 3482719/2
SRR395323.3482720 3482720/2
SRR395323.3482721 3482721/2
SRR395323.3482722 3482722/2
SRR395323.3482723 3482723/2
SRR395323.3482724 3482724/2
SRR395323.3482725 3482725/2
SRR395323.3482726 3482726/2
SRR395323.3482727 3482727/2
SRR395323.3482728 3482728/2
SRR395323.3482729 3482729/2
SRR395323.3482730 3482730/2
SRR395323.3482731 3482731/2
SRR395323.3482732 3482732/2
SRR395323.3482733 3482733/2
SRR395323.3482734 3482734/2
SRR395323.3482735 3482735/2
SRR395323.3482736 3482736/2
SRR395323.3482737 3482737/2
SRR395323.3482738 3482738/2
SRR395323.3482739 3482739/2
SRR395323.3482740 3482740/2
SRR395323.3482741 3482741/2
SRR395323.3482742 3482742/2
SRR395323.3482743 3482743/2
SRR395323.3482744 3482744/2
SRR395323.3482745 3482745/2
SRR395323.3482746 3482746/2
SRR395323.3482747 3482747/2
SRR395323.3482748 3482748/2
SRR395323.3482749 3482749/2
SRR395323.3482750 3482750/2
SRR395323.3482751 3482751/2
SRR395323.3482752 3482752/2
SRR395323.3482753 3482753/2
SRR395323.3482754 3482754/2
SRR395323.3482755 3482755/2
SRR395323.3482756 3482756/2
SRR395323.3482757 3482757/2
SRR395323.3482758 3482758/2
SRR395323.3482759 3482759/2
SRR395323.3482760 3482760/2
SRR395323.3482761 3482761/2
SRR395323.3482762 3482762/2
SRR395323.3482763 3482763/2
SRR395323.3482764 3482764/2
SRR395323.3482765 3482765/2
SRR395323.3482766 3482766/2
SRR395323.3482767 3482767/2
SRR395323.3482768 3482768/2
SRR395323.3482769 3482769/2
SRR395323.3482770 3482770/2
SRR395323.3482771 3482771/2
SRR395323.3482772 3482772/2
SRR395323.3482773 3482773/2
SRR395323.3482774 3482774/2
SRR395323.3482775 3482775/2
SRR395323.3482776 3482776/2
SRR395323.3482777 3482777/2
SRR395323.3482778 3482778/2
SRR395323.3482779 3482779/2
SRR395323.3482780 3482780/2
SRR395323.3482781 3482781/2
SRR395323.3482782 3482782/2
SRR395323.3482783 3482783/2
SRR395323.3482784 3482784/2
SRR395323.3482785 3482785/2
SRR395323.3482786 3482786/2
SRR395323.3482787 3482787/2
SRR395323.3482788 3482788/2
SRR395323.3482789 3482789/2
SRR395323.3482790 3482790/2
SRR395323.3482791 3482791/2
SRR395323.3482792 3482792/2
SRR395323.3482793 3482793/2
SRR395323.3482794 3482794/2
SRR395323.3482795 3482795/2
SRR395323.3482796 3482796/2
SRR395323.3482797 3482797/2
SRR395323.3482798 3482798/2
SRR395323.3482799 3482799/2
SRR395323.3482800 3482800/2
SRR395323.3482801 3482801/2
SRR395323.3482802 3482802/2
SRR395323.3482803 3482803/2
SRR395323.3482804 3482804/2
SRR395323.3482805 3482805/2
SRR395323.3482806 3482806/2
SRR395323.3482807 3482807/2
SRR395323.3482808 3482808/2
SRR395323.3482809 3482809/2
SRR395323.3482810 3482810/2
SRR395323.3482811 3482811/2
SRR395323.3482812 3482812/2
